model,input_transform,run_dir,task,condition,cell,modality,metric,mean_ap,median_ap,n_queries,n_groups
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0376003419115223,0.015324452886551,611,237
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0364407355106638,0.0151478531364726,466,237
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.2076943767891043,0.0348751168065546,1280,306
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.3445377709959384,0.1386774491623332,1280,306
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0748617989919985,0.0291524646222681,302,262
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.0630939878138508,0.0167654742124455,1280,305
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.2074223531660206,0.0879852140196967,1280,305
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.0390908776444598,0.0112373737373737,290,145
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1358336928101555,0.0266886011651037,640,160
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.2757300286447804,0.1193277310924369,640,160
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.0357003936111846,0.0148989450852804,611,237
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.0399075918502356,0.0157687618426366,466,237
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.2895326032810333,0.0688755327484803,1280,306
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.3967629869598931,0.1840433928924028,1280,306
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.0842271962060134,0.0307492509607504,302,262
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.028509818601348,0.0086048761965027,1280,305
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.1161793121574348,0.051982520403573,1280,305
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0497320274829862,0.0084389688078621,290,145
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0552124749778739,0.0180021367521367,640,160
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.1733350831700297,0.0951063049853372,640,160
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0331092909538921,0.0143561518174521,611,237
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0306605372735485,0.0148741187267166,466,237
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.2171049909709787,0.0282038485477281,1280,306
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.307383543127066,0.0914720266921524,1280,306
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0678735168214508,0.0270799860104197,302,262
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.0521622975199538,0.0135369505801209,1280,305
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.1646370956525825,0.0720946610415301,1280,305
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.040078603863825,0.0094339622641509,290,145
dinov2-vits14,raw_l2,dinov2_vits14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1073871829013295,0.020983435756163,640,160
