run,run_label,task,condition,cell,modality,metric,mean_ap,median_ap,n_queries,n_groups
bio_target_proxy,Bio-target Proxy-CE head,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.8255773175749779,1.0,611,237
bio_target_proxy,Bio-target Proxy-CE head,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.8334982338089023,1.0,466,237
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.3340057053901167,0.2767857142857142,1280,306
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.4692823392125523,0.3772305323746042,1280,306
bio_target_proxy,Bio-target Proxy-CE head,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.4691538747722,0.3410437352924295,302,262
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.188571020227978,0.1708720213490122,1280,305
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.3183193642452862,0.3532045064674457,1280,305
bio_target_proxy,Bio-target Proxy-CE head,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.92927583572614,1.0,290,145
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1140258510883183,0.0193277953721633,640,160
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.228823371265522,0.0930354267310789,640,160
bio_target_proxy,Bio-target Proxy-CE head,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
bio_target_proxy,Bio-target Proxy-CE head,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.8066659996599217,1.0,611,237
bio_target_proxy,Bio-target Proxy-CE head,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.8312001009299508,1.0,466,237
